id,keyword,scraped_url,content_type,title,task_id,source_file,created_at,cloudflarer2_url,cloudflarer2_key
35,Industrial boiler product overview video,https://www.youtube.com/watch?v=fk3DjD9gSsk,youtube,What is a Boiler and How does It Work?,task_1762362436.746436,keywords1.csv,2025-11-05T17:08:00.183237,,
36,Industrial boiler product overview video,https://www.youtube.com/watch?v=8hrfYK_C8h0,youtube,Domestic wood fire hot water boiler,task_1762362436.746436,keywords1.csv,2025-11-05T17:08:00.183246,,
37,Industrial boiler product overview video,https://www.speboilers.com/assets/img/products/Industrial-Steam-Boiler.jpg,image,Industrial Steam Boiler | Products,task_1762362436.746436,keywords1.csv,2025-11-05T17:08:00.183249,,
38,Industrial boiler product overview video,https://www.rasmech.com/wp-content/uploads/2020/11/D-Style-5.jpg,image,Industrial Boilers,task_1762362436.746436,keywords1.csv,2025-11-05T17:08:00.183251,,
39,Steam drum components and documentation,https://www.youtube.com/watch?v=hqKwDUVqh1c,youtube,Steam Drum mountings & Internal detail | Function of SD| CBD | IBD | High pressure dosing,task_1762362436.746436,keywords1.csv,2025-11-05T17:08:44.874503,,
40,Steam drum components and documentation,https://www.youtube.com/watch?v=Tea6e7AmZFs,youtube,Power Boiler Feedwater and Steam,task_1762362436.746436,keywords1.csv,2025-11-05T17:08:44.874511,,
41,Steam drum components and documentation,https://boilersinfo.com/wp-content/uploads/2018/05/Boiler-steam-Drum-Internals.jpg,image,Boiler Steam drum internals and function,task_1762362436.746436,keywords1.csv,2025-11-05T17:08:44.874514,,
42,Steam drum components and documentation,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjSqw3SfHVfTcc-eriouVJbJY_B_z-J8xXvq_qme4XNmDIRXJsAkSkrzV-nGY9CPO1pW2tG9nKg5_rrc655fiCKBDeLPL05sEmVLpkZ7Bkn0npYHTH9wcGdqRFoeeDFoq-1dy3cLpzYRRWhoYk7BaLUI1zm8dvKohr0dZo9XTxW9P3Zk6Ni45ZFv836B7op/s909/Boiler Steam Drum Parts.png,image,Power plant and calculations: 9-Functions of Boiler steam drum,task_1762362436.746436,keywords1.csv,2025-11-05T17:08:44.874517,,
43,Boiler OEM training video Alstom Foster Wheeler,https://www.youtube.com/watch?v=dVBoZ4PfZmE,youtube,Boiler Working Animation,task_1762362436.746436,keywords1.csv,2025-11-05T17:09:25.610995,,
44,Boiler OEM training video Alstom Foster Wheeler,https://www.youtube.com/watch?v=yxi2PhR_MgQ,youtube,Animazione 3D Degassificatore Termochimica,task_1762362436.746436,keywords1.csv,2025-11-05T17:09:25.611003,,
45,Boiler OEM training video Alstom Foster Wheeler,https://www.savonaequipment.com/images/163995-554x554s/foster-wheeler-8-mmbtu-dowtherm-boiler-wholesale-supplier.jpg,image,Foster Wheeler Boilers Naval,task_1762362436.746436,keywords1.csv,2025-11-05T17:09:25.611005,,
46,Boiler OEM training video Alstom Foster Wheeler,https://www.aaronequipment.com/Images/ItemImages/Boilers/Water-Tube/Foster-Wheeler-AG-5050_52778001_aa.png,image,"Used Foster Wheeler D-Type Water Tube Boiler – 75,000 lb/hr, 280 PSIG",task_1762362436.746436,keywords1.csv,2025-11-05T17:09:25.611009,,
47,Subcritical boiler maintenance guide,https://www.youtube.com/watch?v=HQifV1uAXB4,youtube,"The Mighty Super ultra critical Boiler, #boilers  #powerplant  #shorts",task_1762362436.746436,keywords1.csv,2025-11-05T17:10:07.201236,,
48,Subcritical boiler maintenance guide,https://www.youtube.com/watch?v=esRxfmqPNhw,youtube,Investigating Bulges in Water Tube Boilers: Procedures and Repair Guidelines,task_1762362436.746436,keywords1.csv,2025-11-05T17:10:07.201243,,
49,Subcritical boiler maintenance guide,https://m.media-amazon.com/images/I/71giQEkSokL.jpg,image,Buy Steam Boiler Operating And Maintenance Manual: Working Principle ...,task_1762362436.746436,keywords1.csv,2025-11-05T17:10:07.201245,,
50,Subcritical boiler maintenance guide,https://www.wcrouse.com/wp-content/uploads/The-Complete-Guide-to-Boiler-Operation-and-Maintenance-2048x1152.jpg,image,The Complete Guide To Boiler Operation and Maintenance | WC Rouse & Son,task_1762362436.746436,keywords1.csv,2025-11-05T17:10:07.201248,,
51,Drum boiler manufacturer introduction,https://www.youtube.com/watch?v=2OlKNWvqC28,youtube,Steam drum of boiler,task_1762362436.746436,keywords1.csv,2025-11-05T17:11:09.965002,,
